,Part type,Contact number,Time,Fx,Fy,Fz,Mass,Mx,My,Mz
8,slave,4,0.0958983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,slave,4,0.108975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,slave,4,0.117693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,slave,4,0.126411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,slave,4,0.139488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,slave,4,0.148207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,slave,4,0.156925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,slave,4,0.165643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,slave,4,0.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,slave,4,0.187438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,slave,4,0.196156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,slave,4,0.209233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,slave,4,0.217951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,slave,4,0.226669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,slave,4,0.239746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,slave,4,0.248464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,slave,4,0.257182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,slave,4,0.2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,slave,4,0.278977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,slave,4,0.287695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,slave,4,0.296413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,slave,4,0.30949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,slave,4,0.318208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,slave,4,0.326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,slave,4,0.335644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,slave,4,0.348721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,slave,4,0.357439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,slave,4,0.366157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,slave,4,0.379234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,slave,4,0.387952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,slave,4,0.39667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,slave,4,0.409747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,slave,4,0.418465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,slave,4,0.427184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,slave,4,0.435902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708,slave,4,0.448979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728,slave,4,0.457697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,slave,4,0.466415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768,slave,4,0.479492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788,slave,4,0.48821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
808,slave,4,0.496928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828,slave,4,0.505646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
848,slave,4,0.518723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
868,slave,4,0.527441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
888,slave,4,0.536159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
908,slave,4,0.549236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
928,slave,4,0.557954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
948,slave,4,0.566672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
968,slave,4,0.579749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
988,slave,4,0.588467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1008,slave,4,0.597185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028,slave,4,0.605903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048,slave,4,0.61898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068,slave,4,0.627698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,slave,4,0.636416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108,slave,4,0.649493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1128,slave,4,0.658211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1148,slave,4,0.666929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1168,slave,4,0.675647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1188,slave,4,0.688724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1208,slave,4,0.697442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228,slave,4,0.706161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1248,slave,4,0.719238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1268,slave,4,0.727956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1288,slave,4,0.736674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1308,slave,4,0.749751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1328,slave,4,0.758469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1348,slave,4,0.767187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1368,slave,4,0.775905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1388,slave,4,0.788982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1408,slave,4,0.7977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1428,slave,4,0.806417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1448,slave,4,0.819493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1468,slave,4,0.828207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1488,slave,4,0.836917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1508,slave,4,0.849967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1528,slave,4,0.85865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548,slave,4,0.867313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1568,slave,4,0.875954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1588,slave,4,0.888867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1608,slave,4,0.897447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628,slave,4,0.906013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1648,slave,4,0.918866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668,slave,4,0.927447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1688,slave,4,0.936061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1708,slave,4,0.949046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1728,slave,4,0.957715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1748,slave,4,0.966394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768,slave,4,0.979421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788,slave,4,0.988099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1808,slave,4,0.996771,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1828,slave,4,1.00975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1848,slave,4,1.01838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1868,slave,4,1.02702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1888,slave,4,1.03999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,slave,4,1.04867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1928,slave,4,1.05736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,slave,4,1.06605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,slave,4,1.07905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,slave,4,1.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,slave,4,1.09634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,slave,4,1.10931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,slave,4,1.11798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,slave,4,1.12665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2088,slave,4,1.13967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2108,slave,4,1.14833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2128,slave,4,1.15701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2148,slave,4,1.1657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2168,slave,4,1.17872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,slave,4,1.18738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2208,slave,4,1.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,slave,4,1.20825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2248,slave,4,1.21954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2268,slave,4,1.22999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2288,slave,4,1.23672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2308,slave,4,1.24982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2328,slave,4,1.2591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2348,slave,4,1.26773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2368,slave,4,1.2785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2388,slave,4,1.28858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
